pmid	author	order
27593565	Cunshuan_Xu	6
27588466	Liang-Ting_Lin	1
27588466	Chun-Yuan_Chang	2
27588466	Chih-Hsien_Chang	3
27588466	Hsin-Ell_Wang	4
27588466	Shih-Hwa_Chiou	5
27588466	Ren-Shyan_Liu	6
27588466	Te-Wei_Lee	7
27588466	Yi-Jang_Lee	8
27586962	Mengling_Peng	1
27586962	Jing_Han	2
27586962	Longlong_Li	3
27586962	Haitian_Ma	4
27586307	Luqing_Zhao	1
27586307	Yitao_Mao	2
27586307	Yuelong_Zhao	3
27586307	Yanong_He	4
27581151	Farah_J_Nassar	1
27581151	Rabab_El_Eit	2
27581151	Rihab_Nasr	3
27574806	Pooja_Ghatalia	1
27574806	Eddy_S_Yang	2
27574806	Brittany_N_Lasseigne	3
27574806	Ryne_C_Ramaker	4
27574806	Sara_J_Cooper	5
27574806	Dongquan_Chen	6
27574806	Sunil_Sudarshan	7
27574806	Shi_Wei	8
27574806	Arjun_S_Guru	9
27574806	Amy_Zhao	10
27574806	Tiffiny_Cooper	11
27574806	Deborah_L_Della_Manna	12
27574806	Gurudatta_Naik	13
27574806	Richard_M_Myers	14
27574806	Guru_Sonpavde	15
27558222	Frederick_Goetz	1
27558222	Sara_E_Smith	2
